Subdirectory	RGPU
aa4c1eb4-4f00-42be-890c-c7c9a012f19a	Run0253_BC4H6AACXX_L5
62df05f3-65b0-49d2-be87-8cf11bb09b99	Run0247_BC4972ACXX_L7
e7e8621b-5b12-4855-be57-833da7a77a84	Run0229_BC3N7TACXX_L2
2c04658f-0d54-4aeb-a797-ff6189c3ba5b	Run0224_AC3JF3ACXX_L4
f2fbc3d7-fc66-494f-b21b-ded59979a361	Run0208_AC2LDDACXX_L2
a4d60836-495c-4a2c-9947-87b0e76ce3da	Run0257_BC53U3ACXX_L6
66b570da-a95e-4a29-8b55-b933d0a3b06f	Run0253_BC4H6AACXX_L1
af56bbaa-57d5-4871-891e-d8cfe9c5b781	Run0246_AC48UDACXX_L6
61f2344d-1f5f-4031-95ed-8ffa9b531bdd	Run0253_BC4H6AACXX_L7
ccd53e8f-d303-4d18-8b71-963a63907de0	Run0253_BC4H6AACXX_L2
05265c77-c4ba-4fe8-8714-f4c30e91e3da	Run0231_AC3NBVACXX_L7
e87f7076-260e-4488-883b-1c502bad28ad	Run0248_AC4D43ACXX_L7
353ef9ac-54c6-4faa-a030-ef6b7d84b8e4	Run0290_AC699YACXX_L5
b33eca60-3fe2-4a96-a665-5e32dfe2be6b	Run0253_BC4H6AACXX_L4
30904715-cd8d-408f-b676-b98ea5aa82c2	Run0196_AC23BRACXX_L5
f915135d-0d5b-4ed3-9fdf-0411d58eb4e5	Run0215_BC2NRKACXX_L7
bb794216-e5fd-471a-9bde-3b355c524648	Run0231_AC3NBVACXX_L7
e480c6e8-646f-4129-86e0-33e26a989a62	Run0224_AC3JF3ACXX_L2
786d69f7-ef70-468b-b40a-4a99270b4add	Run0343_AC87WGACXX_L5
dbf21200-c98b-4432-8e6e-c1ee99c9cd5b	Run0248_AC4D43ACXX_L2
8a6d8371-d762-48e1-b2f7-fa73c700f393	Run0257_BC53U3ACXX_L7
704bf461-6f25-479d-a6e7-3ced350ab329	Run0247_BC4972ACXX_L4
d26464b7-4daa-4669-ae6b-8754a1da984d	Run0223_BC3JDHACXX_L2
907b6895-3823-43f6-88ee-fcdc3c4c21dc	Run0208_AC2LDDACXX_L2
d182ef6c-d92e-4020-b454-0c5b12529381	Run0246_AC48UDACXX_L4
1beadf8b-8080-48cc-b19f-9a799c409b2b	Run0224_AC3JF3ACXX_L1
83197b60-237b-4aea-bca0-6e78eed7991f	Run0248_AC4D43ACXX_L6
89e49390-5584-4a71-a678-d28285fd1df6	Run0253_BC4H6AACXX_L7
c88c98a6-34b9-4df2-b74e-838bb86d3db2	Run0247_BC4972ACXX_L6
a13c00f1-9213-4e74-a921-cd49d63dd265	Run0248_AC4D43ACXX_L4
88433a25-1e59-483e-a79a-ecc730084fa2	Run0248_AC4D43ACXX_L3
2bb45109-25a0-46a8-a410-5ebb684347e3	Run0224_AC3JF3ACXX_L5
d55a923a-fb41-4a9c-ade9-794388f3c242	Run0247_BC4972ACXX_L8
7bc77f5d-de3d-4418-8fb1-f3c2a38aec29	Run0248_AC4D43ACXX_L7
349ac3ad-1426-4c0d-a73b-1b7d3ac70961	Run0290_AC699YACXX_L3
59b80f85-be9a-4105-99fe-b63e5328f9fa	Run0248_AC4D43ACXX_L5
89697960-fca3-4e53-8fdf-31354f547473	Run0253_BC4H6AACXX_L6
3b436293-0563-458d-8a5e-977e987a99d6	Run0247_BC4972ACXX_L1
4ca1b0c7-3b88-4fff-b722-30b1d85bdf4f	Run0257_BC53U3ACXX_L7
325a7ee2-8e79-4bcc-bd06-0d8788981859	Run0247_BC4972ACXX_L3
aea6956e-2564-4875-b335-bc4a57a2e08a	Run0231_AC3NBVACXX_L5
4fed89d6-2462-4ea5-8778-cfa2a4f8fd5b	Run0247_BC4972ACXX_L5
e976a5c4-40b4-42f7-b7b3-57b0536b9f9d	Run0256_AC53WMACXX_L7
611bc267-af28-4185-9662-4300672ba228	Run0343_AC87WGACXX_L4
946c362f-5760-4b6e-b4a9-0ec81a63b708	Run0229_BC3N7TACXX_L2
744093db-7ff5-4eee-8a8d-7f5512662aed	Run0248_AC4D43ACXX_L5
cbc01733-8d9b-4949-a419-15e9475070f1	Run0247_BC4972ACXX_L4
0333b6ae-3176-41b3-84fb-bf6a9f0ab4f9	Run0257_BC53U3ACXX_L6
9c025809-a9a8-4fe9-a980-0d1273da6b2e	Run0290_AC699YACXX_L5
55652763-9dd9-4f2e-ad6c-b70cb2ac061e	Run0231_AC3NBVACXX_L5
4c30dbc3-e0b9-4c9e-9153-2d2af10a3f55	Run0231_AC3NBVACXX_L8
ff558c8b-4dba-4095-8e97-2359c63b2ebd	Run0247_BC4972ACXX_L1
c538a596-a11a-4527-81ca-7a22da172a3e	Run0248_AC4D43ACXX_L2
7ee694e5-a878-43ae-a841-4494a7beb7ad	Run0248_AC4D43ACXX_L5
f9d37e15-f84f-49de-a2f5-f7682d8b3f0c	Run0248_AC4D43ACXX_L4
12c431c6-e672-434d-9a64-51ae943221b8	Run0253_BC4H6AACXX_L6
1ac2c4d2-22a9-42f4-9490-342c689cca25	Run0248_AC4D43ACXX_L5
57eb45cc-bb50-4438-854d-6a6a191c35c9	Run0290_AC699YACXX_L2
181569a8-3c0a-455c-9445-9164768632cd	Run0290_AC699YACXX_L5
953af492-9ca4-4433-aad4-8dd676b1bcf0	Run0229_BC3N7TACXX_L2
811911ce-3e55-42ee-811d-abdae50a2c45	Run0231_AC3NBVACXX_L6
5c5f71b4-219e-4004-953d-e5a47fb8bdf0	Run0253_BC4H6AACXX_L6
d0279dad-930c-4fa2-a837-5d119c32512f	Run0343_AC87WGACXX_L5
f809abbd-ba1a-4f3d-9866-0cd1f22b8e24	Run0256_AC53WMACXX_L7
c8a51687-e315-4988-a6c6-f7ec97475c9a	Run0224_AC3JF3ACXX_L5
9f77c40e-b665-428a-8155-b102058b96ed	Run0292_AC699LACXX_L4
a7e538ec-bf1f-4e5d-9c2e-1b9447575031	Run0208_AC2LDDACXX_L3
18d68acf-bde1-4187-b935-780db80543ed	Run0253_BC4H6AACXX_L3
7b632606-4bfb-4379-9d80-533668940b26	Run0247_BC4972ACXX_L7
456c27a5-1161-4c50-a45c-5e1e246e1d27	Run0290_AC699YACXX_L2
8d6d5424-a747-4bea-96e8-4654386a9e3a	Run0248_AC4D43ACXX_L4
8fade901-3a50-434a-bfa6-a409fad3f351	Run0248_AC4D43ACXX_L7
3af75741-f5af-462e-92e0-bf91bc9b59a0	Run0288_AC698EACXX_L2
a566ac00-9bd5-44ae-96ec-0b99d2ec703c	Run0224_AC3JF3ACXX_L5
23a146a2-02f1-4d69-a174-79944d1b4872	Run0343_AC87WGACXX_L5
7055bb0a-bcc1-4e9a-95d2-2c04991a8dcc	Run0231_AC3NBVACXX_L6
0f7bcf75-f7e7-4f21-a81f-f48658934f20	Run0208_AC2LDDACXX_L4
ff1b260c-0c5c-42b7-85c4-8ce8fcf81f10	Run0253_BC4H6AACXX_L5
a0f386f6-f4c8-4d10-8182-33a40b64b456	Run0253_BC4H6AACXX_L4
80fd1617-0619-4a0f-9375-08671492b7df	Run0223_BC3JDHACXX_L2
56f24daa-8d3f-4ef9-a92e-589f8c072d4d	Run0196_AC23BRACXX_L5
6ae1f4e7-9529-43de-85f9-aa67a22e0541	Run0253_BC4H6AACXX_L3
85731bef-c357-4459-b9c3-2ca2da5fe961	Run0288_AC698EACXX_L2
5845c2bc-8cb2-45fa-b570-75f3ec6e3743	Run0248_AC4D43ACXX_L4
1b09434c-4c26-4454-9429-2e3fdea99b86	Run0253_BC4H6AACXX_L2
c396efc7-e7e6-4e0f-9f6f-5159fdd86509	Run0253_BC4H6AACXX_L3
9f2cfa20-a47e-41ea-ad92-1e53ff8b40c1	Run0290_AC699YACXX_L2
109b80f8-0271-4e71-9910-c4ef38f96a9f	Run0253_BC4H6AACXX_L4
c3630cc2-ee0a-4468-8bd7-bbbb796a513f	Run0257_BC53U3ACXX_L3
d1655b20-9725-4299-bb7f-8dc30acbed5f	Run0288_AC698EACXX_L2
6a50f8e7-354e-43fe-9d3f-292ad2923bea	Run0246_AC48UDACXX_L4
4bce80f1-12d4-4021-8072-2f84fa890553	Run0203_BC2KF2ACXX_L5
914e1fb4-b86d-49c8-86e6-b25a3dfe8e10	Run0256_AC53WMACXX_L8
f7ace146-0bb7-4afa-a7b6-d71487835fb7	Run0224_AC3JF3ACXX_L1
77b1b02c-0cc8-464b-93dd-3001f7b43250	Run0248_AC4D43ACXX_L5
ee7f555e-80f5-4ad8-9133-1661490c9980	Run0256_AC53WMACXX_L7
09668a37-75f5-4d73-ba0f-eeb1cbdf790c	Run0231_AC3NBVACXX_L7
cc0c0305-97ef-4634-8359-3ff92e0e64ba	Run0208_AC2LDDACXX_L2
2ed05c30-e05e-45b0-bd1b-5b037822279c	Run0215_BC2NRKACXX_L7
