folder_name	file_fastq	file_bam	RGID	RGLB	RGPL	RGSM	RGDS1	RGDS2	RGPU
68d32493-3005-4134-8def-cec48bf655cc	E7.3.183.fastq.gz	E7.3.183.step1.Aligned.sortedByCoord.out.bam	E7.3.183	E7.3.183	illumina	E7.3	Smart-seq2	embryonic-cell-metazoa	Run0223_BC3JDHACXX_L2
949fc158-2378-4247-a101-31f569af723a	E4.8.1191.fastq.gz	E4.8.1191.step1.Aligned.sortedByCoord.out.bam	E4.8.1191	E4.8.1191	illumina	E4.8	Smart-seq2	embryonic-cell-metazoa	Run0248_AC4D43ACXX_L5
d97c6285-9ed9-42e2-ba56-571104e597cb	E4.late.33.3162.fastq.gz	E4.late.33.3162.step1.Aligned.sortedByCoord.out.bam	E4.late.33.3162	E4.late.33.3162	illumina	E4.late.33	Smart-seq2	embryonic-cell-metazoa	Run0288_AC698EACXX_L2
e595dcae-8d49-4054-a0c8-f0c1f50b239f	E5.15.1834.fastq.gz	E5.15.1834.step1.Aligned.sortedByCoord.out.bam	E5.15.1834	E5.15.1834	illumina	E5.15	Smart-seq2	embryonic-cell-metazoa	Run0257_BC53U3ACXX_L2
58d6df6f-fd15-418d-a38a-73c8d3c799d7	E7.13.884.fastq.gz	E7.13.884.step1.Aligned.sortedByCoord.out.bam	E7.13.884	E7.13.884	illumina	E7.13	Smart-seq2	inner-cell-mass-cell	Run0247_BC4972ACXX_L5
88406de0-17b4-4362-87af-c118996c2e7a	E5.40.3280.fastq.gz	E5.40.3280.step1.Aligned.sortedByCoord.out.bam	E5.40.3280	E5.40.3280	illumina	E5.40	Smart-seq2	inner-cell-mass-cell	Run0290_AC699YACXX_L5
bf59fe33-30fe-4bfe-ae94-3c14a7f99fb7	E6.15.1446.fastq.gz	E6.15.1446.step1.Aligned.sortedByCoord.out.bam	E6.15.1446	E6.15.1446	illumina	E6.15	Smart-seq2	embryonic-cell-metazoa	Run0253_BC4H6AACXX_L4
c7b30a0c-a34e-41d1-a3e3-ecad2cff8c61	E6.8.812.fastq.gz	E6.8.812.step1.Aligned.sortedByCoord.out.bam	E6.8.812	E6.8.812	illumina	E6.8	Smart-seq2	embryonic-cell-metazoa	Run0247_BC4972ACXX_L2
151fa1d3-8307-480f-aa41-9913a57218f5	E7.4.223.fastq.gz	E7.4.223.step1.Aligned.sortedByCoord.out.bam	E7.4.223	E7.4.223	illumina	E7.4	Smart-seq2	embryonic-cell-metazoa	Run0221_BC3H8JACXX_L5
90909501-7570-44e2-bffb-33f40fda6ca5	E6.9.1015.fastq.gz	E6.9.1015.step1.Aligned.sortedByCoord.out.bam	E6.9.1015	E6.9.1015	illumina	E6.9	Smart-seq2	embryonic-cell-metazoa	Run0248_AC4D43ACXX_L2
