folder_name	RGID	RGLB	RGPL	RGDS1	RGDS2	RGSM	RGPU
2a3d2ec4-cdeb-4bf9-bb3e-408bf2606e0a	SRR11798464	SRR11798464_LB	ILLUMINA	10X3v2	NextSeq500	DD046_ALI	NB502093:19:HMKMFBGX3:3
daa02cfc-b543-430b-979d-843714e013f6	SRR11798308	SRR11798308_LB	ILLUMINA	10X3v2	NovaSeq6000	dd39p	NS500624:159:H2H35BGX3:1
620aa0e3-7b3d-4250-b8ac-d22a4f409ac0	SRR11798329	SRR11798329_LB	ILLUMINA	10X3v2	NovaSeq6000	dd49p	A00319:14:H7HTLDMXX:1
91ca6a42-c24b-47b7-b320-f46b49aa3f66	SRR11798356	SRR11798356_LB	ILLUMINA	10X3v2	NovaSeq6000	KKD019N	NS500624:134:HFFV2BGX2:3
2fc40df2-82cb-4afb-8301-f52892b83824	SRR11798312	SRR11798312_LB	ILLUMINA	10X3v2	NovaSeq6000	dd39p	NS500624:159:H2H35BGX3:2
a16f948b-1d5d-4328-9ff6-4589a01bcdb3	SRR11798472	SRR11798472_LB	ILLUMINA	10X3v2	NextSeq500	ND16932_ALI	NB502093:54:HC2KNBGXB:2
93de3234-3ffb-4368-ae26-febd7b5f8bcc	SRR11798365	SRR11798365_LB	ILLUMINA	10X3v2	NovaSeq6000	KKD020N	NS500624:136:HCKW3BGX2:3
e35eac01-ce50-4590-aadc-df8f07976467	SRR11798334	SRR11798334_LB	ILLUMINA	10X3v3	NovaSeq6000	cf019	A00454:197:HLG7CDMXX:1
f4a9d115-8141-4365-86bb-d2cb1bdbf71f	SRR11798354	SRR11798354_LB	ILLUMINA	10X3v2	NovaSeq6000	KKD019N	NS500624:134:HFFV2BGX2:1
aa42bc82-5d53-4ac9-864c-8658ec322c21	SRR11798462	SRR11798462_LB	ILLUMINA	10X3v2	NextSeq500	DD046_ALI	NB502093:22:H3F5NBGX5:4
56134b06-6559-4083-bcfa-e267a7f347eb	SRR11798417	SRR11798417_LB	ILLUMINA	10X3v2	NovaSeq6000	KKD024N	NS500624:148:HVN2MBGX2:4
4c61edb1-013f-4df9-87f1-f5426f306566	SRR11798366	SRR11798366_LB	ILLUMINA	10X3v2	NovaSeq6000	KKD020N	NS500624:136:HCKW3BGX2:4
d140e49f-38f1-44f5-8e8e-18a9ff4cb0c7	SRR11798379	SRR11798379_LB	ILLUMINA	10X3v2	NovaSeq6000	KKD022N	NS500624:148:HVN2MBGX2:1
1f7999bb-0653-4a47-9621-604677128c60	SRR11798401	SRR11798401_LB	ILLUMINA	10X3v2	NovaSeq6000	KKD023N	NS500624:148:HVN2MBGX2:4
535ead7f-8f92-4216-9a08-204dbd489dcb	SRR11798310	SRR11798310_LB	ILLUMINA	10X3v2	NovaSeq6000	dd39p	NS500624:159:H2H35BGX3:3
27eff9c9-d644-4f9c-a941-8cb335372f01	SRR11798301	SRR11798301_LB	ILLUMINA	10X3v2	NovaSeq6000	cc05p	A00566:11:HC5NTDSXX:4
49727793-fcfc-49c9-af76-e2f09942334b	SRR11798486	SRR11798486_LB	ILLUMINA	Drop-seq	HiSeq4000	BG9_22	K00208:YAP064:1
7fdc0dd9-b38c-471a-a830-66111adf1f2c	SRR11798290	SRR11798290_LB	ILLUMINA	10X3v3	NovaSeq6000	cc01p	A00454:145:HL2N2DMXX:2
